"Localidades";"Períodos";"População de 0 a 3 Anos";"Cód. IBGE"
"Marsilac";"2009";"518";
"Marsilac";"2010";"492";
"Marsilac";"2011";"475";
"Marsilac";"2012";"458";
"Marsilac";"2013";"438";
"Marsilac";"2014";"423";
"Marsilac";"2015";"406";
"Marsilac";"2016";"413";
"Marsilac";"2017";"420";
"Moema";"2006";"2901";
"Moema";"2007";"2950";
"Moema";"2008";"2991";
"Moema";"2009";"3040";
"Moema";"2010";"3079";
"Moema";"2011";"3138";
"Moema";"2012";"3197";
"Moema";"2013";"3254";
"Moema";"2014";"3306";
"Moema";"2015";"3351";
"Moema";"2016";"3269";
"Moema";"2017";"3186";
"Mooca";"2006";"2811";
"Mooca";"2007";"2851";
"Mooca";"2008";"2893";
"Mooca";"2009";"2936";
"Mooca";"2010";"2968";
"Mooca";"2011";"3120";
"Mooca";"2012";"3278";
"Mooca";"2013";"3446";
"Mooca";"2014";"3613";
"Mooca";"2015";"3791";
"Mooca";"2016";"3685";
"Mooca";"2017";"3579";
"Morumbi";"2006";"2025";
"Morumbi";"2007";"2038";
"Morumbi";"2008";"2047";
"Morumbi";"2009";"2060";
"Morumbi";"2010";"2060";
"Morumbi";"2011";"2235";
"Morumbi";"2012";"2418";
"Morumbi";"2013";"2616";
"Morumbi";"2014";"2823";
"Morumbi";"2015";"3042";
"Morumbi";"2016";"2956";
"Morumbi";"2017";"2868";
"Parelheiros";"2006";"9073";
"Parelheiros";"2007";"8876";
"Parelheiros";"2008";"8665";
"Parelheiros";"2009";"8460";
"Parelheiros";"2010";"8234";
"Parelheiros";"2011";"8661";
"Parelheiros";"2012";"9096";
"Parelheiros";"2013";"9540";
"Parelheiros";"2014";"9994";
"Parelheiros";"2015";"10452";
"Parelheiros";"2016";"10390";
"Parelheiros";"2017";"10320";
"Pari";"2006";"820";
"Pari";"2007";"831";
"Pari";"2008";"836";
"Pari";"2009";"854";
"Pari";"2010";"857";
"Pari";"2011";"936";
"Pari";"2012";"1023";
"Pari";"2013";"1114";
"Pari";"2014";"1210";
"Pari";"2015";"1314";
"Pari";"2016";"1276";
"Pari";"2017";"1236";
"Parque do Carmo";"2006";"4293";
"Parque do Carmo";"2007";"4174";
"Parque do Carmo";"2008";"4056";
"Parque do Carmo";"2009";"3938";
"Parque do Carmo";"2010";"3822";
"Parque do Carmo";"2011";"3930";
"Parque do Carmo";"2012";"4033";
"Parque do Carmo";"2013";"4135";
"Parque do Carmo";"2014";"4236";
"Parque do Carmo";"2015";"4333";
"Parque do Carmo";"2016";"4230";
"Parque do Carmo";"2017";"4130";
"Pedreira";"2006";"9671";3537107
"Pedreira";"2007";"9439";3537107
"Pedreira";"2008";"9208";3537107
"Pedreira";"2009";"8978";3537107
"Pedreira";"2010";"8750";3537107
"Pedreira";"2011";"8820";3537107
"Pedreira";"2012";"8885";3537107
"Pedreira";"2013";"8943";3537107
"Pedreira";"2014";"8995";3537107
"Pedreira";"2015";"9045";3537107
"Pedreira";"2016";"8987";3537107
"Pedreira";"2017";"8928";3537107
"Penha";"2006";"5852";
"Penha";"2007";"5723";
"Penha";"2008";"5597";
"Penha";"2009";"5468";
"Penha";"2010";"5345";
"Penha";"2011";"5557";
"Penha";"2012";"5770";
"Penha";"2013";"5991";
"Penha";"2014";"6216";
"Penha";"2015";"6441";
"Penha";"2016";"6264";
"Penha";"2017";"6084";
"Perdizes";"2006";"3778";
"Perdizes";"2007";"3784";
"Perdizes";"2008";"3789";
"Perdizes";"2009";"3786";
"Perdizes";"2010";"3783";
"Perdizes";"2011";"3899";
"Perdizes";"2012";"4010";
"Perdizes";"2013";"4122";
"Perdizes";"2014";"4229";
"Perdizes";"2015";"4336";
"Perdizes";"2016";"4255";
"Perdizes";"2017";"4170";
"Perus";"2006";"5408";
"Perus";"2007";"5255";
"Perus";"2008";"5109";
"Perus";"2009";"4961";
"Perus";"2010";"4810";
"Perus";"2011";"5050";
"Perus";"2012";"5294";
"Perus";"2013";"5545";
"Perus";"2014";"5802";
"Perus";"2015";"6065";
"Perus";"2016";"5976";
"Perus";"2017";"5885";
"Pinheiros";"2006";"2115";
"Pinheiros";"2007";"2113";
"Pinheiros";"2008";"2112";
"Pinheiros";"2009";"2113";
"Pinheiros";"2010";"2113";
"Pinheiros";"2011";"2209";
"Pinheiros";"2012";"2308";
"Pinheiros";"2013";"2408";
"Pinheiros";"2014";"2504";
"Pinheiros";"2015";"2604";
"Pinheiros";"2016";"2531";
"Pinheiros";"2017";"2445";
"Pirituba";"2006";"9077";
"Pirituba";"2007";"8848";
"Pirituba";"2008";"8617";
"Pirituba";"2009";"8393";
"Pirituba";"2010";"8173";
"Pirituba";"2011";"8408";
"Pirituba";"2012";"8643";
"Pirituba";"2013";"8882";
"Pirituba";"2014";"9116";
"Pirituba";"2015";"9357";
"Pirituba";"2016";"9118";
"Pirituba";"2017";"8880";
"Ponte Rasa";"2006";"5097";
"Ponte Rasa";"2007";"4928";
"Ponte Rasa";"2008";"4758";
"Ponte Rasa";"2009";"4590";
"Ponte Rasa";"2010";"4433";
"Ponte Rasa";"2011";"4487";
"Ponte Rasa";"2012";"4541";
"Ponte Rasa";"2013";"4592";
"Ponte Rasa";"2014";"4644";
"Ponte Rasa";"2015";"4690";
"Ponte Rasa";"2016";"4566";
"Ponte Rasa";"2017";"4443";
"Raposo Tavares";"2006";"6079";
"Raposo Tavares";"2007";"5932";
"Raposo Tavares";"2008";"5789";
"Raposo Tavares";"2009";"5640";
"Raposo Tavares";"2010";"5499";
"Raposo Tavares";"2011";"5814";
"Raposo Tavares";"2012";"6133";
"Raposo Tavares";"2013";"6461";
"Raposo Tavares";"2014";"6793";
"Raposo Tavares";"2015";"7134";
"Raposo Tavares";"2016";"6926";
"Raposo Tavares";"2017";"6713";
"República";"2006";"2015";
"República";"2007";"1995";
"República";"2008";"1981";
"República";"2009";"1965";
"República";"2010";"1947";
"República";"2011";"2153";
"República";"2012";"2374";
"República";"2013";"2614";
"República";"2014";"2866";
"República";"2015";"3137";
"República";"2016";"3034";
"República";"2017";"2920";
"Rio Pequeno";"2006";"6598";
"Rio Pequeno";"2007";"6394";
"Rio Pequeno";"2008";"6198";
"Rio Pequeno";"2009";"5999";
"Rio Pequeno";"2010";"5812";
"Rio Pequeno";"2011";"6323";
"Rio Pequeno";"2012";"6868";
"Rio Pequeno";"2013";"7439";
