DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
SAO DOMINGOS;1.657;1.115;2.616;2.176;46;308;0;0;1;1;562;0;0;0;0;0;;;set-15
SAO LUCAS;1.572;1.883;3.084;2.155;41;355;0;0;45;4;534;0;0;0;0;0;;;set-15
SAO MATEUS;3.587;3.048;3.261;2.419;198;930;0;0;223;6;1.910;3;0;0;0;0;;;set-15
SAO MIGUEL;2.740;1.712;3.551;2.574;121;516;283;0;12;3;995;82;0;0;0;0;;;set-15
SAO RAFAEL;3.793;4.128;5.015;3.416;167;711;0;0;82;8;3.181;0;0;0;0;0;;;set-15
SAPOPEMBA;6.716;6.048;9.051;6.208;340;1.294;275;0;94;6;4.209;0;0;0;0;0;;;set-15
SAUDE;1.068;545;200;197;14;115;0;0;0;0;827;22;0;0;0;0;;;set-15
SE;92;93;568;284;54;96;0;0;0;0;323;89;0;0;0;0;;;set-15
SOCORRO;528;863;944;690;0;172;0;0;1;1;275;5;0;0;0;0;;;set-15
TATUAPE;732;903;797;703;44;354;0;0;3;4;354;61;0;0;0;0;;;set-15
TREMEMBE;3.513;2.708;3.731;2.477;240;648;0;0;69;4;2.798;587;0;0;0;0;;;set-15
TUCURUVI;1.138;668;1.164;879;0;0;0;0;7;2;357;25;0;0;0;0;;;set-15
VILA ANDRADE;933;1.698;2.747;1.447;89;541;0;0;0;19;2.609;3;0;0;0;0;;;set-15
VILA CURUCA;4.198;4.024;5.973;4.108;61;371;0;0;30;7;1.949;170;0;0;0;0;;;set-15
VILA FORMOSA;1.569;1.600;745;659;37;181;0;0;1;7;606;1;0;0;0;0;;;set-15
VILA GUILHERME;845;681;988;658;12;81;0;0;2;1;319;8;0;0;0;0;;;set-15
VILA JACUI;3.649;3.820;4.451;3.234;18;170;0;0;10;7;1.568;107;0;0;0;0;;;set-15
VILA LEOPOLDINA;577;405;563;385;0;0;0;0;6;0;148;3;0;0;0;0;;;set-15
VILA MARIA;2.533;2.947;3.162;2.247;54;222;0;0;56;5;1.666;27;0;0;0;0;;;set-15
VILA MARIANA;646;767;229;204;0;0;0;0;0;1;442;7;0;0;0;0;;;set-15
VILA MATILDE;1.482;925;2.199;1.691;73;236;0;0;2;0;896;15;0;0;0;0;;;set-15
VILA MEDEIROS;3.013;2.121;1.918;1.302;226;752;0;0;90;2;1.514;67;0;0;0;0;;;set-15
VILA PRUDENTE;1.839;1.128;1.100;751;46;173;0;0;12;1;611;2;0;0;0;0;;;set-15
VILA SONIA;1.920;1.308;1.674;1.451;0;131;0;0;63;0;1.185;70;0;0;0;0;;;set-15
AGUA RASA;960;800;913;834;20;77;0;0;0;0;178;0;0;0;0;0;;;dez-15
ALTO DE PINHEIROS;395;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;;;dez-15
ANHANGUERA;2.622;1.605;3.254;2.335;84;480;0;0;0;0;226;0;0;0;0;0;;;dez-15
ARICANDUVA;1.581;783;1.545;1.269;38;138;0;0;0;0;343;2;0;0;0;0;;;dez-15
ARTUR ALVIM;2.334;2.118;2.373;1.725;0;57;0;0;0;0;557;2;0;0;0;0;;;dez-15
BARRA FUNDA;359;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;;;dez-15
BELA VISTA;1.420;534;464;300;0;234;0;0;0;0;152;2;0;0;0;0;;;dez-15
BELEM;1.032;562;415;258;0;0;0;0;0;0;247;1;0;0;0;0;;;dez-15
BOM RETIRO;926;646;0;0;0;0;0;0;0;0;212;18;0;0;0;0;;;dez-15
BRAS;683;472;0;0;0;0;0;0;0;0;371;45;0;0;0;0;;;dez-15
BRASILANDIA;10.813;7.091;9.116;5.800;161;1.398;0;0;0;3;1.263;19;0;0;0;0;;;dez-15
BUTANTA;697;656;1.230;1.087;169;519;0;0;0;0;104;0;0;0;0;0;;;dez-15
CACHOEIRINHA;4.230;2.350;3.500;2.185;50;246;0;0;0;8;1.243;2;0;0;0;0;;;dez-15
CAMBUCI;440;519;0;0;167;377;0;0;0;0;105;6;0;0;0;0;;;dez-15
CAMPO BELO;976;277;696;706;62;256;0;0;0;0;340;2;0;0;0;0;;;dez-15
CAMPO GRANDE;1.018;1.770;2.320;1.663;143;430;0;0;0;0;677;20;0;0;0;0;;;dez-15
CAMPO LIMPO;5.930;5.495;7.634;5.799;278;1.341;0;0;1;6;3.383;261;0;0;0;0;;;dez-15
CANGAIBA;2.888;2.769;2.384;1.531;86;412;0;0;0;0;933;94;0;0;0;0;;;dez-15
CAPAO REDONDO;5.642;6.156;9.196;6.517;519;2.117;0;0;2;2;4.326;510;0;0;0;0;;;dez-15
CARRAO;1.961;815;963;837;0;0;0;0;0;0;237;0;0;0;0;0;;;dez-15
CASA VERDE;1.382;990;1.189;931;46;139;0;0;0;0;398;4;0;0;0;0;;;dez-15
CIDADE ADEMAR;4.835;3.960;3.627;2.064;82;375;0;0;0;0;4.750;432;0;0;0;0;;;dez-15
CIDADE DUTRA;6.546;4.430;5.847;4.221;172;835;0;0;0;0;1.537;56;0;0;0;0;;;dez-15
CIDADE LIDER;3.354;2.918;3.364;2.224;208;842;0;0;0;0;618;4;0;0;0;0;;;dez-15
CIDADE TIRADENTES;11.192;6.930;12.537;8.867;229;880;562;0;10;0;329;15;0;0;0;0;;;dez-15
CONSOLACAO;210;698;0;0;0;0;0;0;0;0;120;0;0;0;0;0;;;dez-15
CURSINO;973;881;798;503;45;130;0;0;0;0;534;0;0;0;0;0;;;dez-15
ERMELINO MATARAZZO;2.866;2.161;1.179;925;200;617;0;0;0;0;660;1;0;0;0;0;;;dez-15
FREGUESIA DO O;2.999;3.226;2.746;1.913;70;334;0;0;0;0;457;6;0;0;0;0;;;dez-15
GRAJAU;10.756;8.377;7.053;4.240;208;1.300;0;0;0;0;4.267;205;0;0;0;0;;;dez-15
GUAIANASES;5.246;2.674;1.978;1.308;336;468;0;0;3;1;95;8;0;0;0;0;;;dez-15
IGUATEMI;3.350;4.303;7.287;4.847;229;588;0;0;0;0;2.058;0;0;0;0;0;;;dez-15
IPIRANGA;2.075;1.278;666;392;66;229;0;0;0;0;376;0;0;0;0;0;;;dez-15
ITAIM BIBI;384;479;577;477;0;50;0;0;0;0;220;0;0;0;0;0;;;dez-15
ITAIM PAULISTA;8.066;5.685;6.858;4.579;118;757;0;0;0;0;997;53;0;0;0;0;;;dez-15
ITAQUERA;6.731;4.301;3.244;2.202;33;410;0;0;0;0;722;2;0;0;0;0;;;dez-15
JABAQUARA;3.849;3.630;3.106;2.235;96;330;0;0;0;1;1.846;23;0;0;0;0;;;dez-15
JACANA;2.163;3.077;2.537;1.722;64;277;0;0;0;0;1.195;95;0;0;0;0;;;dez-15
JAGUARA;861;535;654;557;26;113;0;0;0;0;281;3;0;0;0;0;;;dez-15
JAGUARE;1.576;857;851;565;35;103;0;0;0;0;345;1;0;0;0;0;;;dez-15
JARAGUA;7.628;5.852;10.065;7.238;221;960;353;0;0;0;735;10;0;0;0;0;;;dez-15
JARDIM ANGELA;6.779;7.568;7.342;4.708;189;1.002;0;0;0;2;6.119;626;0;0;0;0;;;dez-15
JARDIM HELENA;4.643;3.234;4.851;3.584;52;650;0;0;0;0;1.047;66;0;0;0;0;;;dez-15
JARDIM PAULISTA;106;189;0;0;0;0;0;0;0;0;13;0;0;0;0;0;;;dez-15
JARDIM SAO LUIS;7.723;5.652;5.953;3.939;144;736;0;0;1;5;3.137;140;0;0;0;0;;;dez-15
JOSE BONIFACIO;3.348;2.948;3.152;2.201;0;159;0;0;0;0;361;0;0;0;0;0;;;dez-15
LAJEADO;8.405;5.400;4.221;2.574;142;799;0;0;3;0;461;8;0;0;0;0;;;dez-15
LAPA;494;776;0;0;0;0;0;0;0;0;84;0;0;0;0;0;;;dez-15
LIBERDADE;672;52;348;277;0;0;0;0;0;0;95;0;0;0;0;0;;;dez-15
LIMAO;1.429;1.277;808;541;18;93;0;0;0;0;380;2;0;0;0;0;;;dez-15
MANDAQUI;1.750;1.630;1.659;1.284;140;330;0;0;0;0;479;0;0;0;0;0;;;dez-15
MARSILAC;364;69;0;0;0;0;0;0;0;0;65;12;0;0;0;0;;;dez-15
MOEMA;396;500;260;147;0;0;0;0;0;0;139;0;0;0;0;0;;;dez-15
MOOCA;772;657;310;247;53;97;0;0;0;0;167;3;0;0;0;0;;;dez-15
MORUMBI;706;366;347;267;30;54;0;0;0;0;395;0;0;0;0;0;;;dez-15
PARELHEIROS;4.898;3.787;3.270;1.393;227;620;0;0;0;0;1.368;49;0;0;0;0;;;dez-15
PARI;327;295;310;176;0;0;0;0;0;0;175;0;0;0;0;0;;;dez-15
PARQUE DO CARMO;2.349;1.122;640;484;0;0;0;0;0;0;362;1;0;0;0;0;;;dez-15
PEDREIRA;2.708;2.429;3.917;2.682;49;588;0;0;0;2;2.655;371;0;0;0;0;;;dez-15
PENHA;2.519;982;466;241;0;0;0;0;0;0;437;1;0;0;0;0;;;dez-15
PERDIZES;542;263;272;193;0;0;0;0;0;0;90;0;0;0;0;0;;;dez-15
PERUS;3.578;2.433;4.061;3.058;142;548;0;0;0;0;71;0;0;0;0;0;;;dez-15
PINHEIROS;370;270;264;271;0;0;0;0;0;1;91;0;0;0;0;0;;;dez-15
PIRITUBA;3.450;2.313;3.265;2.837;214;935;286;0;0;0;236;26;0;0;0;0;;;dez-15
PONTE RASA;1.950;1.578;2.332;1.712;0;147;0;0;0;0;294;5;0;0;0;0;;;dez-15
RAPOSO TAVARES;3.080;2.685;4.638;3.178;59;293;0;0;0;2;825;0;0;0;0;0;;;dez-15
REPUBLICA;19;380;0;0;0;0;0;0;0;0;30;1;0;0;0;0;;;dez-15
RIO PEQUENO;2.801;2.203;3.091;2.204;78;322;0;0;0;0;568;1;0;0;0;0;;;dez-15
SACOMA;5.501;4.483;6.167;4.075;301;921;0;0;0;0;1.466;5;0;0;0;0;;;dez-15
SANTA CECILIA;1.452;245;0;0;0;0;0;0;0;0;178;0;0;0;0;0;;;dez-15
SANTANA;1.187;749;1.011;909;0;83;941;433;0;0;291;8;0;0;0;0;;;dez-15
SANTO AMARO;391;287;703;844;45;161;437;0;0;0;194;2;0;0;0;0;;;dez-15
SAO DOMINGOS;1.652;1.115;2.608;2.159;47;284;0;0;0;0;215;0;0;0;0;0;;;dez-15
SAO LUCAS;1.627;1.879;3.067;2.113;31;253;0;0;0;0;162;0;0;0;0;0;;;dez-15
SAO MATEUS;3.900;3.047;3.256;2.364;172;658;0;0;0;1;969;1;0;0;0;0;;;dez-15
SAO MIGUEL;2.744;1.708;3.552;2.539;73;431;272;0;0;0;381;14;0;0;0;0;;;dez-15
SAO RAFAEL;3.888;4.116;4.977;3.338;157;581;0;0;0;0;1.746;1;0;0;0;0;;;dez-15
SAPOPEMBA;6.793;6.030;8.985;6.068;283;1.165;272;0;1;3;2.073;4;0;0;0;0;;;dez-15
SAUDE;1.070;541;195;194;12;85;0;0;0;0;394;9;0;0;0;0;;;dez-15
SE;92;93;558;272;53;72;0;0;0;0;208;25;0;0;0;0;;;dez-15
SOCORRO;523;854;948;672;0;154;0;0;0;0;91;1;0;0;0;0;;;dez-15
TATUAPE;738;904;789;695;36;260;0;0;0;0;192;19;0;0;0;0;;;dez-15
TREMEMBE;3.667;2.703;3.698;2.390;186;489;0;0;0;1;2.110;153;0;0;0;0;;;dez-15
TUCURUVI;1.148;670;1.159;856;0;0;0;0;0;0;224;12;0;0;0;0;;;dez-15
VILA ANDRADE;982;1.722;2.705;1.396;69;376;0;0;0;0;1.939;39;0;0;0;0;;;dez-15
VILA CURUCA;4.424;4.004;5.943;4.006;44;275;0;0;0;0;677;11;0;0;0;0;;;dez-15
VILA FORMOSA;1.567;1.602;737;649;37;181;0;0;0;0;250;1;0;0;0;0;;;dez-15
VILA GUILHERME;931;688;972;639;10;46;0;0;0;0;156;5;0;0;0;0;;;dez-15
VILA JACUI;3.642;3.798;4.408;3.186;13;147;0;0;0;0;697;10;0;0;0;0;;;dez-15
VILA LEOPOLDINA;564;394;555;367;0;0;0;0;0;0;45;5;0;0;0;0;;;dez-15
VILA MARIA;2.579;2.924;3.137;2.178;46;182;0;0;0;0;905;2;0;0;0;0;;;dez-15
VILA MARIANA;647;758;227;197;0;0;0;0;0;0;203;0;0;0;0;0;;;dez-15
VILA MATILDE;1.555;923;2.191;1.684;37;131;0;0;0;0;355;0;0;0;0;0;;;dez-15
VILA MEDEIROS;3.234;2.128;1.897;1.280;217;706;0;0;0;0;659;54;0;0;0;0;;;dez-15
VILA PRUDENTE;1.844;1.122;1.112;742;38;146;0;0;0;0;248;0;0;0;0;0;;;dez-15
VILA SONIA;2.316;1.308;1.651;1.393;0;132;0;0;0;0;541;0;0;0;0;0;;;dez-15
AGUA RASA;1.042;815;939;847;29;141;0;0;9;3;187;1;0;0;0;0;;;mar-16
ALTO DE PINHEIROS;402;0;0;0;0;0;0;0;1;0;40;0;0;0;0;0;;;mar-16
ANHANGUERA;2.690;1.668;3.219;2.448;133;514;0;0;8;0;445;8;0;0;0;0;;;mar-16
ARICANDUVA;1.507;747;1.471;1.290;39;288;0;0;12;3;504;6;0;0;0;0;;;mar-16
ARTUR ALVIM;2.571;2.093;2.419;1.794;0;69;0;0;21;9;516;9;0;0;0;0;;;mar-16
BARRA FUNDA;374;0;0;0;0;0;0;0;1;0;30;0;0;0;0;0;;;mar-16
BELA VISTA;1.462;495;465;290;0;276;0;0;36;10;317;7;0;0;0;0;;;mar-16
BELEM;1.001;612;440;297;0;0;0;0;9;6;270;18;0;0;0;0;;;mar-16
BOM RETIRO;905;683;0;0;0;0;0;0;16;8;299;42;0;0;0;0;;;mar-16
BRAS;565;525;0;0;0;0;0;0;16;4;272;57;0;0;0;0;;;mar-16
BRASILANDIA;10.940;7.195;9.491;6.228;226;1.699;0;0;52;75;2.019;70;0;0;0;0;;;mar-16
BUTANTA;647;600;1.316;1.055;188;578;0;0;6;0;129;2;0;0;0;0;;;mar-16
CACHOEIRINHA;4.177;2.470;3.529;2.279;78;415;0;0;63;15;1.533;19;0;0;0;0;;;mar-16
CAMBUCI;434;512;0;0;168;455;0;0;6;9;56;9;0;0;0;0;;;mar-16
CAMPO BELO;957;296;807;737;79;259;0;0;16;0;286;18;0;0;0;0;;;mar-16
CAMPO GRANDE;1.045;1.738;2.372;1.637;171;502;0;0;82;20;661;15;0;0;0;0;;;mar-16
CAMPO LIMPO;6.580;5.555;7.601;5.880;319;1.643;0;0;63;73;3.181;215;0;0;0;0;;;mar-16
CANGAIBA;3.648;3.031;2.376;1.631;132;616;0;0;28;20;607;232;0;0;0;0;;;mar-16
CAPAO REDONDO;6.486;6.590;9.185;6.965;549;2.362;0;0;63;143;4.724;490;0;0;0;0;;;mar-16
CARRAO;1.915;911;1.002;859;0;0;0;0;17;4;245;1;0;0;0;0;;;mar-16
CASA VERDE;1.455;1.023;1.192;926;54;202;0;0;52;8;439;5;0;0;0;0;;;mar-16
CIDADE ADEMAR;5.147;4.367;3.975;2.155;140;650;0;0;178;69;4.494;921;0;0;0;0;;;mar-16
CIDADE DUTRA;6.682;4.511;5.753;4.153;235;1.101;0;0;26;10;2.151;15;0;0;0;0;;;mar-16
CIDADE LIDER;3.481;2.917;3.378;2.367;192;912;0;0;44;13;842;18;0;0;0;0;;;mar-16
CIDADE TIRADENTES;11.168;6.984;12.197;8.881;238;1.384;559;0;186;54;633;34;0;0;0;0;;;mar-16
CONSOLACAO;210;694;0;0;0;0;0;0;0;9;55;5;0;0;0;0;;;mar-16
CURSINO;998;903;788;536;42;217;0;0;8;0;482;2;0;0;0;0;;;mar-16
ERMELINO MATARAZZO;3.284;2.238;1.213;890;225;521;0;0;26;10;647;18;0;0;0;0;;;mar-16
FREGUESIA DO O;3.105;3.283;2.802;1.995;50;435;0;0;14;15;651;14;0;0;0;0;;;mar-16
GRAJAU;11.089;10.513;7.092;4.204;254;1.610;0;0;47;52;5.163;419;0;0;0;0;;;mar-16
GUAIANASES;5.208;2.768;2.009;1.302;335;564;0;0;80;13;197;19;0;0;0;0;;;mar-16
IGUATEMI;4.663;4.344;7.324;4.935;326;890;0;0;40;16;1.686;118;0;0;0;0;;;mar-16
IPIRANGA;2.108;1.295;679;447;63;280;0;0;13;0;488;2;0;0;0;0;;;mar-16
ITAIM BIBI;376;409;619;514;0;59;0;0;0;0;226;3;0;0;0;0;;;mar-16
ITAIM PAULISTA;8.737;6.137;6.822;4.854;162;1.003;0;0;85;49;1.441;61;0;0;0;0;;;mar-16
ITAQUERA;7.132;4.547;3.234;2.318;0;586;0;0;59;8;1.290;15;0;0;0;0;;;mar-16
JABAQUARA;4.347;3.465;3.176;2.409;125;439;0;0;42;64;1.828;380;0;0;0;0;;;mar-16
JACANA;2.127;3.020;2.478;1.870;108;197;0;0;53;17;1.549;23;0;0;0;0;;;mar-16
JAGUARA;829;544;718;533;25;111;0;0;0;4;337;22;0;0;0;0;;;mar-16
JAGUARE;1.575;937;849;601;42;189;0;0;5;0;456;10;0;0;0;0;;;mar-16
JARAGUA;7.774;6.175;10.031;7.370;273;1.040;366;0;26;17;1.437;109;0;0;0;0;;;mar-16
JARDIM ANGELA;7.798;7.464;7.506;4.875;221;1.517;0;0;62;103;5.856;1.157;0;0;0;0;;;mar-16
JARDIM HELENA;4.641;3.586;4.894;3.641;69;724;0;0;31;15;1.597;35;0;0;0;0;;;mar-16
JARDIM PAULISTA;103;201;0;0;0;0;0;0;0;0;11;1;0;0;0;0;;;mar-16
JARDIM SAO LUIS;8.105;5.907;6.120;4.017;128;1.085;0;0;37;95;3.868;212;0;0;0;0;;;mar-16
JOSE BONIFACIO;3.293;3.153;3.205;2.317;0;191;0;0;25;7;458;15;0;0;0;0;;;mar-16
LAJEADO;8.931;5.475;4.061;2.604;182;1.007;0;0;102;100;777;56;0;0;0;0;;;mar-16
LAPA;526;870;0;0;0;0;0;0;2;5;77;9;0;0;0;0;;;mar-16
LIBERDADE;686;143;352;287;0;0;0;0;8;1;169;1;0;0;0;0;;;mar-16
LIMAO;1.415;1.329;814;549;0;122;0;0;9;6;470;7;0;0;0;0;;;mar-16
MANDAQUI;1.739;1.674;1.634;1.315;110;367;0;0;25;4;547;16;0;0;0;0;;;mar-16
MARSILAC;406;79;0;0;0;0;0;0;0;0;94;4;0;0;0;0;;;mar-16
MOEMA;395;484;276;144;0;0;0;0;4;5;116;12;0;0;0;0;;;mar-16
MOOCA;766;653;294;227;63;104;0;0;8;14;134;16;0;0;0;0;;;mar-16
MORUMBI;633;385;362;248;19;79;0;0;8;0;555;3;0;0;0;0;;;mar-16
PARELHEIROS;4.619;4.325;3.339;1.348;292;841;0;0;18;4;1.868;90;0;0;0;0;;;mar-16
PARI;338;288;299;180;0;0;0;0;3;3;136;3;0;0;0;0;;;mar-16
PARQUE DO CARMO;2.306;1.242;647;492;0;0;0;0;17;5;530;7;0;0;0;0;;;mar-16
PEDREIRA;2.774;2.702;4.218;2.926;97;810;0;0;2;46;2.906;619;0;0;0;0;;;mar-16
PENHA;2.799;1.046;425;246;0;0;0;0;94;20;348;85;0;0;0;0;;;mar-16
PERDIZES;535;255;289;212;0;0;0;0;3;0;89;0;0;0;0;0;;;mar-16
PERUS;3.463;2.465;4.041;2.969;209;700;0;0;19;15;333;48;0;0;0;0;;;mar-16
PINHEIROS;366;272;284;271;0;0;0;0;1;1;81;1;0;0;0;0;;;mar-16
PIRITUBA;3.513;2.387;3.280;2.780;218;936;299;0;9;21;561;54;0;0;0;0;;;mar-16
PONTE RASA;2.001;1.712;2.381;1.859;0;201;0;0;19;9;348;17;0;0;0;0;;;mar-16
RAPOSO TAVARES;3.235;2.757;4.752;3.421;51;388;0;0;16;2;1.027;12;0;0;0;0;;;mar-16
REPUBLICA;28;387;0;0;0;0;0;0;0;14;0;5;0;0;0;0;;;mar-16
RIO PEQUENO;2.773;2.298;3.277;2.271;111;322;0;0;36;2;827;16;0;0;0;0;;;mar-16
SACOMA;5.679;4.676;6.161;4.262;286;1.243;0;0;42;10;2.119;11;0;0;0;0;;;mar-16
SANTA CECILIA;1.506;271;0;0;0;0;0;0;7;4;345;5;0;0;0;0;;;mar-16
SANTANA;1.193;730;957;860;0;172;1.024;572;18;2;265;8;0;0;0;0;;;mar-16
SANTO AMARO;384;325;720;767;63;198;589;0;7;7;171;15;0;0;0;0;;;mar-16
SAO DOMINGOS;1.653;1.195;2.622;2.103;62;323;0;0;18;8;349;4;0;0;0;0;;;mar-16
SAO LUCAS;1.559;1.831;3.063;2.186;53;265;0;0;13;5;363;6;0;0;0;0;;;mar-16
SAO MATEUS;3.941;3.125;3.324;2.335;178;869;0;0;32;8;1.300;5;0;0;0;0;;;mar-16
SAO MIGUEL;2.643;1.831;3.590;2.681;141;632;232;0;22;8;578;7;0;0;0;0;;;mar-16
SAO RAFAEL;4.017;4.264;5.092;3.488;187;917;0;0;26;16;2.055;22;0;0;0;0;;;mar-16
SAPOPEMBA;6.704;6.068;9.124;6.195;300;1.384;300;0;95;26;2.845;15;0;0;0;0;;;mar-16
SAUDE;1.085;604;194;164;0;132;0;0;10;3;399;12;0;0;0;0;;;mar-16
SE;92;93;596;318;65;65;0;0;0;0;135;20;0;0;0;0;;;mar-16
SOCORRO;530;828;942;682;0;173;0;0;3;2;135;7;0;0;0;0;;;mar-16
TATUAPE;717;913;808;740;30;369;0;0;11;9;101;64;0;0;0;0;;;mar-16
TREMEMBE;3.477;3.289;3.697;2.421;209;642;0;0;12;20;2.435;112;0;0;0;0;;;mar-16
TUCURUVI;1.122;683;1.053;918;0;0;0;0;10;3;273;1;0;0;0;0;;;mar-16
VILA ANDRADE;1.040;2.088;2.781;1.692;80;454;0;0;4;41;1.809;29;0;0;0;0;;;mar-16
VILA CURUCA;4.663;4.183;5.901;4.243;56;511;0;0;31;45;872;53;0;0;0;0;;;mar-16
VILA FORMOSA;1.643;1.695;765;682;60;303;0;0;11;6;295;8;0;0;0;0;;;mar-16
VILA GUILHERME;856;711;977;675;0;94;0;0;14;0;207;9;0;0;0;0;;;mar-16
VILA JACUI;3.856;3.913;4.652;3.307;0;114;0;0;36;28;900;15;0;0;0;0;;;mar-16
VILA LEOPOLDINA;603;380;602;417;0;0;0;0;7;3;69;32;0;0;0;0;;;mar-16
VILA MARIA;2.507;2.900;3.084;2.217;61;238;0;0;13;22;1.216;7;0;0;0;0;;;mar-16
VILA MARIANA;652;706;237;207;0;0;0;0;5;14;211;6;0;0;0;0;;;mar-16
VILA MATILDE;1.823;924;2.111;1.707;47;147;0;0;15;4;214;9;0;0;0;0;;;mar-16
VILA MEDEIROS;3.204;2.176;1.859;1.320;201;721;0;0;21;8;989;10;0;0;0;0;;;mar-16
VILA PRUDENTE;1.869;1.056;1.138;755;47;199;0;0;13;3;429;5;0;0;0;0;;;mar-16
VILA SONIA;2.492;1.551;1.681;1.469;0;121;0;0;131;8;681;9;0;0;0;0;;;mar-16
AGUA RASA;1.050;811;948;846;23;102;0;0;0;1;217;0;0;0;0;0;;;jun-16
ALTO DE PINHEIROS;406;0;0;0;0;0;0;0;1;0;76;0;0;0;0;0;;;jun-16
ANHANGUERA;2.697;1.662;3.225;2.407;126;515;0;0;4;3;570;3;0;0;0;0;;;jun-16
ARICANDUVA;1.517;713;1.467;1.282;23;204;0;0;3;7;595;2;0;0;0;0;;;jun-16
ARTUR ALVIM;2.572;2.076;2.418;1.795;0;62;0;0;19;10;647;5;0;0;0;0;;;jun-16
BARRA FUNDA;371;0;0;0;0;0;0;0;2;0;52;0;0;0;0;0;;;jun-16
BELA VISTA;1.482;508;465;293;0;258;0;0;16;2;434;2;0;0;0;0;;;jun-16
BELEM;1.013;616;444;300;0;0;0;0;5;5;327;14;0;0;0;0;;;jun-16
BOM RETIRO;915;680;0;0;0;0;0;0;7;2;372;40;0;0;0;0;;;jun-16
BRAS;579;528;0;0;0;0;0;0;2;1;329;12;0;0;0;0;;;jun-16
BRASILANDIA;10.970;7.192;9.487;6.137;214;1.481;0;0;77;32;2.654;21;0;0;0;0;;;jun-16
BUTANTA;653;611;1.301;1.054;196;566;0;0;2;2;160;0;0;0;0;0;;;jun-16
CACHOEIRINHA;4.260;2.478;3.550;2.266;62;314;0;0;7;4;1.874;5;0;0;0;0;;;jun-16
CAMBUCI;436;519;0;0;186;467;0;0;4;2;67;6;0;0;0;0;;;jun-16
CAMPO BELO;1.065;289;804;741;88;280;0;0;6;1;276;18;0;0;0;0;;;jun-16
CAMPO GRANDE;1.166;1.753;2.365;1.631;176;473;0;0;2;5;759;4;0;0;0;0;;;jun-16
CAMPO LIMPO;6.820;5.640;7.626;5.794;324;1.558;0;0;36;29;3.600;51;0;0;0;0;;;jun-16
CANGAIBA;3.774;3.094;2.327;1.640;127;498;0;0;13;10;771;95;0;0;0;0;;;jun-16
CAPAO REDONDO;7.282;6.879;9.159;6.897;607;2.480;0;0;329;59;4.750;153;0;0;0;0;;;jun-16
CARRAO;1.918;885;1.015;865;0;0;0;0;5;3;288;1;0;0;0;0;;;jun-16
CASA VERDE;1.536;1.025;1.198;930;52;193;0;0;13;4;573;1;0;0;0;0;;;jun-16
CIDADE ADEMAR;5.359;4.605;3.924;2.102;104;600;0;0;145;14;5.006;547;0;0;0;0;;;jun-16
CIDADE DUTRA;6.516;4.500;5.704;4.124;229;1.007;0;0;5;12;2.785;0;0;0;0;0;;;jun-16
CIDADE LIDER;3.662;2.883;3.400;2.370;207;903;0;0;36;12;885;1;0;0;0;0;;;jun-16
CIDADE TIRADENTES;11.377;6.996;12.233;8.846;248;1.264;572;0;80;30;789;14;0;0;0;0;;;jun-16
CONSOLACAO;210;679;0;0;0;0;0;0;0;4;59;0;0;0;0;0;;;jun-16
CURSINO;1.003;892;803;534;46;216;0;0;3;2;441;0;0;0;0;0;;;jun-16
ERMELINO MATARAZZO;3.318;2.226;1.200;884;235;533;0;0;11;3;809;2;0;0;0;0;;;jun-16
FREGUESIA DO O;3.147;3.229;2.796;1.977;28;407;0;0;8;15;850;6;0;0;0;0;;;jun-16
GRAJAU;11.228;10.484;7.091;4.108;240;1.465;0;0;8;26;6.245;257;0;0;0;0;;;jun-16
GUAIANASES;5.332;2.774;2.000;1.311;391;635;0;0;44;11;368;1;0;0;0;0;;;jun-16
IGUATEMI;4.687;4.461;7.349;4.911;316;860;0;0;14;10;1.974;4;0;0;0;0;;;jun-16
IPIRANGA;2.144;1.285;651;436;65;262;0;0;5;1;559;0;0;0;0;0;;;jun-16
ITAIM BIBI;376;391;626;512;0;57;0;0;0;0;248;0;0;0;0;0;;;jun-16
ITAIM PAULISTA;8.954;6.102;6.846;4.872;172;1.004;0;0;42;26;1.884;6;0;0;0;0;;;jun-16
ITAQUERA;7.137;4.489;3.236;2.289;0;469;0;0;44;14;1.714;2;0;0;0;0;;;jun-16
JABAQUARA;4.553;3.517;3.192;2.402;115;388;0;0;25;6;1.953;316;0;0;0;0;;;jun-16
JACANA;2.630;3.054;2.480;1.859;101;256;0;0;4;4;1.418;7;0;0;0;0;;;jun-16
JAGUARA;828;545;714;525;27;107;0;0;1;2;420;8;0;0;0;0;;;jun-16
JAGUARE;1.737;938;851;600;45;152;0;0;2;7;438;0;0;0;0;0;;;jun-16
JARAGUA;7.784;6.118;10.065;7.313;268;1.012;357;0;15;11;1.955;20;0;0;0;0;;;jun-16
JARDIM ANGELA;8.005;7.546;7.500;4.861;215;1.175;0;0;27;40;6.552;832;0;0;0;0;;;jun-16
